Location Name,Accessible,PRECINCT,PRECINCT2,PRECINCT3,PRECINCT4,PRECINCT5,PRECINCT6,Address,City,X,Y,Location 1
OUR LADY OF MT CARMEL SCHOOL,Y,8900014,,,,,,1114  N 22ND AVE,MELROSE PARK,-87.860958219,41.8970769402,"(41.8970769402, -87.860958219)"
SHARP MEMORIAL PARK DIST,Y,8900015,,,,,,1609  N 36TH AVE,MELROSE PARK,-87.8779758194,41.9021109117,"(41.9021109117, -87.8779758194)"
EISENHOWER COMM CENTER,Y,8900017,8900039,8900099,,,,700 SPEECHLEY BLVD,HILLSIDE,-87.8985204198,41.8835647864,"(41.8835647864, -87.8985204198)"
LINCOLN SCHOOL,Y,8900018,8900031,8900094,,,,3420   JACKSON,BELLWOOD,-87.8751252433,41.874004476,"(41.874004476, -87.8751252433)"
ROOSEVELT MIDDLE SCHOOL,Y,8900019,8900020,8900083,,,,2500 OAK ST,BELLWOOD,-87.8642367896,41.8853101004,"(41.8853101004, -87.8642367896)"
BETHLEHEM WOODS,Y,8900023,,,,,,1571  W OGDEN AVE,LA GRANGE PARK,-87.889310696,41.8200923507,"(41.8200923507, -87.889310696)"
PARK JR HIGH SCHOOL,Y,8900024,8900055,,,,,325   PARK RD,LA GRANGE PARK,-87.8806294944,41.8201916221,"(41.8201916221, -87.8806294944)"
FOREST ROAD SCHOOL,Y,8900025,8900075,,,,,901 N FOREST RD,LA GRANGE PARK,-87.8661762747,41.8313764341,"(41.8313764341, -87.8661762747)"
VILLAGE OF LA GRANGE PARK,Y,8900026,,,,,,447  N CATHERINE AVE,LA GRANGE PARK,-87.8732681208,41.8229278281,"(41.8229278281, -87.8732681208)"
VILLAGE OF BROOKFIELD,Y,8900027,8900029,,,,,8820 BROOKFIELD AVE,BROOKFIELD,-87.8421394037,41.8229777213,"(41.8229777213, -87.8421394037)"
HILLSIDE VILLAGE HALL,Y,8900030,8900060,,,,,425 N HILLSIDE AVE,HILLSIDE,-87.9077066123,41.8774558265,"(41.8774558265, -87.9077066123)"
GROSS SCHOOL,Y,8900089,8900090,,,,,3524   MAPLE AVE,BROOKFIELD,-87.8520075366,41.8262881517,"(41.8262881517, -87.8520075366)"
BROADVIEW VILLAGE HALL,Y,8900033,8900038,,,,,2350  S 25TH AVE,BROADVIEW,-87.8632482605,41.8611113167,"(41.8611113167, -87.8632482605)"
SCHROEDER PARK,Y,8900034,,,,,,2600  S 13TH AVE,BROADVIEW,-87.8484572614,41.8564072816,"(41.8564072816, -87.8484572614)"
MAYWOOD FIRE STATION,Y,8900043,,,,,,1220  S 17TH AVE,MAYWOOD,-87.8540728915,41.8761742612,"(41.8761742612, -87.8540728915)"
ROOSEVELT SCHOOL,Y,8900005,8900044,8900086,,,,1927  S 15TH AVE,BROADVIEW,-87.850215554,41.8687405304,"(41.8687405304, -87.850215554)"
IRVING SCHOOL,Y,8900045,8900047,8900069,,,,805  S 17TH AVE,MAYWOOD,-87.8533688314,41.8800279998,"(41.8800279998, -87.8533688314)"
VICTORY CENTER,Y,8900095,,,,,,1800 RIVER WOODS DR,MELROSE PARK,-87.8419269911,41.9076452743,"(41.9076452743, -87.8419269911)"
WASHINGTON SCHOOL,Y,8900053,,,,,,1111   WASHINGTON BLVD,MAYWOOD,-87.8470300425,41.8828512323,"(41.8828512323, -87.8470300425)"
GARDEN HOUSE OF MAYWOOD,Y,8900056,,,,,,515 S 2ND AVE,MAYWOOD,-87.8346057282,41.8831812642,"(41.8831812642, -87.8346057282)"
PROVISO EAST HS,Y,8900036,,,,,,807 S FIRST AVE,MAYWOOD,-87.8335493377,41.8798988563,"(41.8798988563, -87.8335493377)"
MAYWOOD PHOENIX HOMES,Y,8900058,,,,,,401   GREEN ST,MAYWOOD,-87.8381278416,41.8784122138,"(41.8784122138, -87.8381278416)"
GRANT-WHITE SCHOOL,Y,8900061,8900062,,,,,147   CIRCLE AVE,FOREST PARK,-87.8100990122,41.8835296273,"(41.8835296273, -87.8100990122)"
ST LOUISE DE MARILLAC SCHOOL,Y,8900021,8900032,8900054,8900063,,,1112  RAYMOND,LA GRANGE PARK,-87.8560253171,41.8361915995,"(41.8361915995, -87.8560253171)"
GARFIELD SCHOOL,Y,8900065,8900067,,,,,543   HANNAH AVE,FOREST PARK,-87.8098504664,41.8762270479,"(41.8762270479, -87.8098504664)"
HOWARD MOHR COMMUNITY CENTER,Y,8900066,8900068,,,,,7640 JACKSON BLVD,FOREST PARK,-87.8156183974,41.8761232585,"(41.8761232585, -87.8156183974)"
BERKELEY PUBLIC LIBRARY,Y,8900071,,,,,,1637   TAFT AVE,BERKELEY,-87.9125484402,41.8844409684,"(41.8844409684, -87.9125484402)"
RECREATION BLDG # 4,Y,8900072,,,,,,7501   HARRISON,FOREST PARK,-87.8117031962,41.8726233292,"(41.8726233292, -87.8117031962)"
FIELD STEVENSON SCHOOL,Y,8900008,8900073,8900074,,,,925   BELOIT AVE,FOREST PARK,-87.8120633806,41.8694192942,"(41.8694192942, -87.8120633806)"
BETSY ROSS SCHOOL,Y,8900076,,,,,,1315   MARENGO AVE,FOREST PARK,-87.806960343,41.8627105224,"(41.8627105224, -87.806960343)"
BRITTEN SCHOOL,Y,8900050,,,,,,10110   GLADSTONE,WESTCHESTER,-87.8759000412,41.8674521348,"(41.8674521348, -87.8759000412)"
BROADVIEW LIBRARY,Y,8900079,,,,,,2226  S 16TH AVE,BROADVIEW,-87.8522760746,41.8632127759,"(41.8632127759, -87.8522760746)"
BEVERLY CENTER,Y,8900081,,,,,,3031  S 25TH AVE,BROADVIEW,-87.8616192232,41.847966947,"(41.847966947, -87.8616192232)"
MC KINLEY SCHOOL,Y,8900082,,,,,,3317   BUTTERFIELD RD,BELLWOOD,-87.8742448814,41.8852485095,"(41.8852485095, -87.8742448814)"
ST JOSEPH HIGH SCHOOL,Y,8900085,8900077,,,,,10900 W CERMAK,WESTCHESTER,-87.8942449523,41.8487740172,"(41.8487740172, -87.8942449523)"
STEVENSON SCHOOL,Y,8900087,,,,,,1630  N 20TH AVE,MELROSE PARK,-87.8587777256,41.903497838,"(41.903497838, -87.8587777256)"
WEST SUBURBAN CHURCH OF CHRIST,Y,8900091,,,,,,5141   ST CHARLES RD,BERKELEY,-87.8973752078,41.8887547481,"(41.8887547481, -87.8973752078)"
PLYMOUTH PLACE INC,Y,8900096,,,,,,315  N LA GRANGE RD,LA GRANGE PARK,-87.8696498625,41.8203114693,"(41.8203114693, -87.8696498625)"
THE VILLAGE CHURCH,Y,8900097,,,,,,1150   MEADOW CREST RD,LA GRANGE PARK,-87.8730787375,41.8357144407,"(41.8357144407, -87.8730787375)"
LIND PARK,Y,8900016,,,,,,1200   LIND AVE,BERKELEY,-87.9071267727,41.8923734851,"(41.8923734851, -87.9071267727)"
WESTCHESTER MIDDLE SCHOOL,Y,8900051,,,,,,1620   NORFOLK AVE,WESTCHESTER,-87.8716622856,41.8557636307,"(41.8557636307, -87.8716622856)"
WESTCHESTER PARK DISTRICT,Y,8900101,,,,,,10201   BOND ST,WESTCHESTER,-87.8776313538,41.8523607215,"(41.8523607215, -87.8776313538)"
MATER CHRISTI CHURCH,Y,8900102,,,,,,2401 S 10TH AVE,NORTH RIVERSIDE,-87.843117366,41.8455270218,"(41.8455270218, -87.843117366)"
ST THOMAS CATHEDRAL CHURCH,Y,8900048,8900064,,,,,5000  W ST CHARLES RD,BELLWOOD,-87.8942614139,41.8886581103,"(41.8886581103, -87.8942614139)"
VILLAGE OF STONE PARK,Y,8900080,8900088,,,,,1825 N 32ND AVE,STONE PARK,-87.8732037783,41.906683575,"(41.906683575, -87.8732037783)"
BELLWOOD PUBLIC LIBRARY,Y,8900009,8900022,,,,,600   BOHLAND AVE,BELLWOOD,-87.8776468402,41.8812982257,"(41.8812982257, -87.8776468402)"
BELLWOOD YOUTH CENTER,Y,8900041,,,,,,3307   MADISON ST,BELLWOOD,-87.8738723509,41.8786148156,"(41.8786148156, -87.8738723509)"
WESTCHESTER PRIMARY SCHOOL,Y,8900006,8900028,,,,,2400  S DOWNING AVE,WESTCHESTER,-87.88945114,41.8443256978,"(41.8443256978, -87.88945114)"
WESTCHESTER INTERMEDIATE SCHOOL,Y,8900057,,,,,,10900   CANTERBURY ST,WESTCHESTER,-87.8948162752,41.8552250994,"(41.8552250994, -87.8948162752)"
PROGRESSIVE LIFE,Y,8900049,,,,,,4500   FRONTAGE RD,HILLSIDE,-87.8935900656,41.8717948966,"(41.8717948966, -87.8935900656)"
MC CLURE JR H S,Y,8900046,,,,,,4225   WOLF RD,WESTERN SPRINGS,-87.898471464,41.8165945263,"(41.8165945263, -87.898471464)"
MAYFAIR RECREATION CENTER,Y,8900084,,,,,,10835 WAKEFIELD,WESTCHESTER,-87.9007091567,41.8453457726,"(41.8453457726, -87.9007091567)"
GUERINE & COMPANY,Y,8900078,,,,,,4700  W DIVISION ST,MELROSE PARK,-87.8915553813,41.8997419536,"(41.8997419536, -87.8915553813)"
WESTCHESTER VILLAGE HALL,Y,8900059,8900092,,,,,10300  W ROOSEVELT RD,WESTCHESTER,-87.8804360788,41.8636572787,"(41.8636572787, -87.8804360788)"
CONCORD PLAZA,Y,8900007,,,,,,401  W LAKE ST,NORTHLAKE,-87.9174257259,41.9057489786,"(41.9057489786, -87.9174257259)"
WESTCHESTER BIBLE CHURCH,Y,8900035,8900070,,,,,10600 W CERMAK,WESTCHESTER,-87.8871589238,41.848813639,"(41.848813639, -87.8871589238)"
PRIORY CAMPUS,Y,9100001,9100003,,,,,7200   DIVISION ST,RIVER FOREST,-87.8073466292,41.9023148049,"(41.9023148049, -87.8073466292)"
RIVER FOREST METHODIST CHURCH,Y,9100004,,,,,,7970   LAKE ST,RIVER FOREST,-87.8243788911,41.88848934,"(41.88848934, -87.8243788911)"
VILLAGE OF RIVER FOREST,Y,9100005,,,,,,400   PARK AVE,RIVER FOREST,-87.820080645,41.8872978521,"(41.8872978521, -87.820080645)"
ROOSEVELT MIDDLE SCHOOL,Y,9100007,,,,,,7560   OAK AVE,RIVER FOREST,-87.8141199447,41.8924827061,"(41.8924827061, -87.8141199447)"
RIVER FOREST COMM CENTER,Y,9100008,,,,,,8020   MADISON ST,RIVER FOREST,-87.8250948403,41.8796235945,"(41.8796235945, -87.8250948403)"
FIRST PRESBYTERIAN CHURCH,Y,9100002,9100006,,,,,7551 QUICK AVE,RIVER FOREST,-87.8137661919,41.8913976502,"(41.8913976502, -87.8137661919)"
VILLAGE OF FLOSSMOOR,Y,9000029,9000045,,,,,2800 FLOSSMOOR RD,FLOSSMOOR,-87.6852267574,41.5421402773,"(41.5421402773, -87.6852267574)"
KOREAN UNITED METHODIST CHURCH,Y,9000003,9000006,,,,,19320 KEDZIE AVE,FLOSSMOOR,-87.6951519874,41.5380838625,"(41.5380838625, -87.6951519874)"
CEDAR RIDGE APTS,Y,9000004,9000043,,,,,950 CEDAR RIDGE LN,RICHTON PARK,-87.710171981,41.4782757257,"(41.4782757257, -87.710171981)"
VICTORY CENTRE,Y,9000008,,,,,,151 MAIN ST,PARK FOREST,-87.6767760711,41.4835158347,"(41.4835158347, -87.6767760711)"
NEIL ARMSTRONG SCHOOL,Y,9000009,,,,,,5030 IMPERIAL DR,RICHTON PARK,-87.7376264859,41.4779541302,"(41.4779541302, -87.7376264859)"
PARK FOREST VILLAGE HALL,Y,9000010,,,,,,350 VICTORY BLVD,PARK FOREST,-87.681105373,41.4823565506,"(41.4823565506, -87.681105373)"
HOMEWOOD CHURCH,Y,9000011,9000031,9000034,,,,18301 GOVERNORS HWY,HOMEWOOD,-87.6804413189,41.5566803613,"(41.5566803613, -87.6804413189)"
MATTESON SCHOOL,Y,9000012,,,,,,21245 MAIN ST,MATTESON,-87.702748049,41.5029745842,"(41.5029745842, -87.702748049)"
FAITH UNITED PROTESTANT CHURCH,Y,9000013,,,,,,10 HEMLOCK,PARK FOREST,-87.6768743978,41.4806842654,"(41.4806842654, -87.6768743978)"
BLACKHAWK SCHOOL,Y,9000014,,,,,,130 BLACKHAWK,PARK FOREST,-87.68677441,41.4711505366,"(41.4711505366, -87.68677441)"
MOHAWK SCHOOL,Y,9000016,,,,,,301 MOHAWK ST,PARK FOREST,-87.6958435456,41.4781963014,"(41.4781963014, -87.6958435456)"
MATTESON COMMUNITY CENTER,Y,9000030,,,,,,4450 W OAKWOOD LN,MATTESON,-87.7243796099,41.511458606,"(41.511458606, -87.7243796099)"
SOUTHWOOD SCHOOL,Y,9000021,9000047,9000042,,,,4600 W 187TH ST,COUNTRY CLUB HILLS,-87.7284279033,41.5497140263,"(41.5497140263, -87.7284279033)"
FOREST TRAIL SCHOOL,Y,9000022,,,,,,215 WILSON,PARK FOREST,-87.696444628,41.4854381485,"(41.4854381485, -87.696444628)"
RICH EAST HIGH SCHOOL,Y,9000017,9000024,,,,,300 SAUK TRAIL,PARK FOREST,-87.6930578711,41.4810160515,"(41.4810160515, -87.6930578711)"
ST JOHN'S FAITH USS,Y,9000026,,,,,,21302 MAPLE ST,MATTESON,-87.7077213252,41.5020845558,"(41.5020845558, -87.7077213252)"
ILLINOIS SCHOOL,Y,9000027,,,,,,210 ILLINOIS ST,PARK FOREST,-87.6794811867,41.5026702095,"(41.5026702095, -87.6794811867)"
FLOSSMOOR HILLS ELEMENTARY SCHOOL,Y,9000041,,,,,,3721 BEECH ST,FLOSSMOOR,-87.7077767619,41.5482477342,"(41.5482477342, -87.7077767619)"
INDIANA SCHOOL,Y,9000032,,,,,,165 INDIANA AVE,PARK FOREST,-87.6925408722,41.5012821262,"(41.5012821262, -87.6925408722)"
FLOSSMOOR PARK DISTRICT,Y,9000033,,,,,,2523 FLOSSMOOR RD,FLOSSMOOR,-87.6777986828,41.542969888,"(41.542969888, -87.6777986828)"
OLYMPIA FIELDS PARK DIST,Y,9000002,9000035,,,,,20712 WESTERN AVE,OLYMPIA FIELDS,-87.6750484848,41.5099221022,"(41.5099221022, -87.6750484848)"
RICH CENTRAL HIGH SCHOOL,Y,9000036,,,,,,3600 W 203RD ST,OLYMPIA FIELDS,-87.7066981165,41.5212410151,"(41.5212410151, -87.7066981165)"
VILLAGE OF RICHTON PARK,Y,9000038,,,,,,4455 SAUK TRAIL,RICHTON PARK,-87.721447816,41.48410094,"(41.48410094, -87.721447816)"
VILLAGE OF OLYMPIA FIELDS,Y,9000005,,,,,,20701 GOVERNORS HWY,OLYMPIA FIELDS,-87.7085012038,41.5134908485,"(41.5134908485, -87.7085012038)"
SAUK SCHOOL,Y,9000049,,,,,,4465 CHURCHILL DR,RICHTON PARK,-87.7241197706,41.4850767393,"(41.4850767393, -87.7241197706)"
NEW FAITH BAPTIST CHRUCH,Y,9000044,9000048,,,,,25 CENTRAL AVE,MATTESON,-87.751001918,41.5265588665,"(41.5265588665, -87.751001918)"
PROVINCETOWN IMPRV ASSN,N,9000046,,,,,,4000 PROVINCETOWN DR,COUNTRY CLUB HILLS,-87.7141437393,41.5530883311,"(41.5530883311, -87.7141437393)"
TIMBERRIDGE MOBILE PARK,Y,9000050,,,,,,21700 S RIDGELAND,MATTESON,-87.7716392023,41.4959627394,"(41.4959627394, -87.7716392023)"
LEONARD ROBINSON FAMILY CENTER,Y,9000051,,,,,,22013 GOVERNORS HWY,RICHTON PARK,-87.7124557946,41.4891892893,"(41.4891892893, -87.7124557946)"
SIEDEN PRAIRIE SCHOOL,Y,9000025,,,,,,725 NOTRE DAME DR,MATTESON,-87.7494620907,41.5131051117,"(41.5131051117, -87.7494620907)"
MARYA YATES SCHOOL,Y,9000001,9000028,9000037,,,,6131 ALLEMONG DR,MATTESON,-87.7650598528,41.5217305998,"(41.5217305998, -87.7650598528)"
RICH SOUTH CAMPUS SCHOOL,Y,9000018,9000023,,,,,5000 SAUK TRAIL,RICHTON PARK,-87.7356920355,41.4848203812,"(41.4848203812, -87.7356920355)"
RICHTON PARK COMM CENTER,Y,9000040,,,,,,4445 SAUK TRAIL,RICHTON PARK,-87.7207725266,41.4840865696,"(41.4840865696, -87.7207725266)"
MAPLE BROOK CLUBHOUSE,Y,9000019,,,,,,21635 RIDGELAND,MATTESON,-87.770413475,41.497082676,"(41.497082676, -87.770413475)"
CHRISTIAN LIFE CENTER,Y,9000007,9000020,,,,,6363 W 183RD ST,TINLEY PARK,-87.7732596924,41.5583165287,"(41.5583165287, -87.7732596924)"
GRANDE PRAIRIE LIBRARY DISTRICT,Y,9000015,,,,,,3479 183RD ST,HAZELCREST,-87.7007266711,41.5564514768,"(41.5564514768, -87.7007266711)"
BROOKDALE SENIOR LIVING,Y,9000039,,,,,,3633 BEAKERS DR,OLYMPIA FIELDS,-87.7068482648,41.5260883268,"(41.5260883268, -87.7068482648)"
RIVERSIDE TOWN HALL,Y,9200001,9200003,9200004,,,,27 RIVERSIDE RD,RIVERSIDE,-87.8183991683,41.8261050699,"(41.8261050699, -87.8183991683)"
VILLAGE OF LYONS,Y,9200002,,,,,,4200 S LAWNDALE AVE,LYONS,-87.815142677,41.8159199975,"(41.8159199975, -87.815142677)"
HAUSER JUNIOR HS,Y,9200005,,,,,,65 WOODSIDE RD,RIVERSIDE,-87.820467761,41.8296214076,"(41.8296214076, -87.820467761)"
VILLAGE COMMONS,Y,9200006,9200012,9200013,9200007,,,2401 DES PLAINES AVE,NORTH RIVERSIDE,-87.822259369,41.8465566772,"(41.8465566772, -87.822259369)"
BLYTHE PARK SCHOOL,Y,9200008,,,,,,735 LEESLEY RD,RIVERSIDE,-87.8078677433,41.8365311528,"(41.8365311528, -87.8078677433)"
AMES SCHOOL,Y,9200009,9200010,,,,,86 SOUTHCOTE RD,RIVERSIDE,-87.8192161803,41.8404491596,"(41.8404491596, -87.8192161803)"
HOLLYWOOD SCHOOL,Y,9200011,,,,,,3423 HOLLYWOOD AVE,BROOKFIELD,-87.833711605,41.8284874346,"(41.8284874346, -87.833711605)"
HOFFMAN EST POLICE DEPT,Y,9300001,9300049,9300058,,,,1200  N GANNON DR,HOFFMAN ESTATES,-88.1082365774,42.0486199121,"(42.0486199121, -88.1082365774)"
WALDEN REC CENTER,Y,9300002,,,,,,1833   THOREAU DR,SCHAUMBURG,-88.0397547107,42.0631065661,"(42.0631065661, -88.0397547107)"
SCHAUMBURG TWP OFFICE,Y,9300006,9300014,9300063,,,,1   ILLINOIS BLVD,HOFFMAN ESTATES,-88.0922592806,42.0272251738,"(42.0272251738, -88.0922592806)"
FRIENDSHIP VILLAGE,Y,9300005,,,,,,350  W SCHAUMBURG RD,SCHAUMBURG,-88.0872672384,42.0283905072,"(42.0283905072, -88.0872672384)"
ALLIANCE FELLOWSHIP CHURCH,Y,9300007,9300008,9300068,,,,665   GRAND CANYON ST,HOFFMAN ESTATES,-88.0872235589,42.038936931,"(42.038936931, -88.0872235589)"
LAKEVIEW SCHOOL,,9300009,,,,,,615   LAKEVIEW LN,HOFFMAN ESTATES,-88.0950707029,42.0390632205,"(42.0390632205, -88.0950707029)"
HANOVER HIGHLANDS SCHOOL,Y,9300010,,,,,,1451   CYPRESS AVE,HANOVER PARK,-88.1400569722,41.9990036223,"(41.9990036223, -88.1400569722)"
ROBERT FROST JR HIGH SCHOOL,Y,9300011,9300041,9300066,,,,320  W WISE RD,SCHAUMBURG,-88.0877581889,42.0054567911,"(42.0054567911, -88.0877581889)"
EISENHOWER JR HIGH SCHOOL,Y,9300028,,,,,,800  W HASSELL RD,HOFFMAN ESTATES,-88.0997156408,42.0635537296,"(42.0635537296, -88.0997156408)"
CAMPANELLI SCHOOL,Y,9300013,9300077,,,,,310   SPRINGINSGUTH RD,SCHAUMBURG,-88.1203737545,42.0196618449,"(42.0196618449, -88.1203737545)"
LINCOLN PRAIRIE SCHOOL,Y,9300015,,,,,,500   HILLCREST BLVD,HOFFMAN ESTATES,-88.0905972798,42.0608410437,"(42.0608410437, -88.0905972798)"
SCHAUMBURG SPORT CENTER,Y,9300016,9300062,,,,,1141 W IRVING PARK RD,SCHAUMBURG,-88.1087682046,41.9946877119,"(41.9946877119, -88.1087682046)"
THE COVENANT CHURCH,Y,9300017,9300025,,,,,301  N MEACHAM RD,SCHAUMBURG,-88.0446965504,42.0345524911,"(42.0345524911, -88.0446965504)"
DOOLEY SCHOOL,Y,9300021,,,,,,622   NORWOOD LN,SCHAUMBURG,-88.1048986666,42.0146561654,"(42.0146561654, -88.1048986666)"
HANOVER PARK & PARK DISTRICT,Y,9300019,,,,,,7173   LONGMEADOW LN,HANOVER PARK,-88.1354184891,42.0030503598,"(42.0030503598, -88.1354184891)"
DOUGLAS MAC ARTHUR SCHOOL,Y,9300031,,,,,,1800   CHIPPENDALE ST,HOFFMAN ESTATES,-88.1071597029,42.059626224,"(42.059626224, -88.1071597029)"
CALVARY COMM CHURCH,Y,9300022,,,,,,1000  S SPRINGINSGUTH RD,SCHAUMBURG,-88.1199033561,42.0076028554,"(42.0076028554, -88.1199033561)"
SCHAUMBURG BARN,Y,9300023,,,,,,231  S CIVIC DR,SCHAUMBURG,-88.1127107453,42.0211227738,"(42.0211227738, -88.1127107453)"
JANE ADDAMS JR H S,Y,9300024,,,,,,700  S SPRINGINSGUTH RD,SCHAUMBURG,-88.1199100419,42.0123677255,"(42.0123677255, -88.1199100419)"
GOSPEL PRESBY CHURCH,Y,9300026,9300076,,,,,210  S PLUM GROVE RD,SCHAUMBURG,-88.0609891218,42.0239659691,"(42.0239659691, -88.0609891218)"
SALEM KOREAN UNITED METH CHURCH,Y,9300030,,,,,,10  S WALNUT LN,SCHAUMBURG,-88.1294807003,42.0250042081,"(42.0250042081, -88.1294807003)"
WEATHERSFIELD LAKE ASSN,Y,9300032,,,,,,130  N SALEM DR,SCHAUMBURG,-88.1015496608,42.029889254,"(42.029889254, -88.1015496608)"
ALDRIN SCHOOL,Y,9300033,9300040,,,,,617   BOXWOOD DR,SCHAUMBURG,-88.0955860024,42.0130953929,"(42.0130953929, -88.0955860024)"
SHEFFIELD TOWNE  ASSO,Y,9300004,9300034,9300060,,,,1000   WALNUT LN,SCHAUMBURG,-88.1275292955,42.0440606218,"(42.0440606218, -88.1275292955)"
NEIL ARMSTRONG SCHOOL,Y,9300012,9300035,,,,,1320  N KINGSDALE RD,HOFFMAN ESTATES,-88.1159032036,42.0503102155,"(42.0503102155, -88.1159032036)"
ALBERT EINSTEIN SCHOOL,Y,9300036,9300038,,,,,1111   LAURIE LN,HANOVER PARK,-88.1357387154,42.0152757752,"(42.0152757752, -88.1357387154)"
SCHAUMBURG PRAIRIE CENTER,Y,9300037,,,,,,201   SCHAUMBURG CT,SCHAUMBURG,-88.0625423409,42.0269220122,"(42.0269220122, -88.0625423409)"
OUR REDEEMER METHODIST CHURCH,Y,9300039,,,,,,1600  W SCHAUMBURG RD,SCHAUMBURG,-88.1197458104,42.0262977862,"(42.0262977862, -88.1197458104)"
ADLAI STEVENSON SCHOOL,Y,9300057,9300069,,,,,1414   ARMSTRONG LN,ELK GROVE VILLAGE,-88.0403336244,41.9988252408,"(41.9988252408, -88.0403336244)"
BARRINGTON LAKES APARTMENT,Y,9300044,,,,,,2200 HASSELL RD,HOFFMAN ESTATES,-88.1356113201,42.0614739327,"(42.0614739327, -88.1356113201)"
FAIRVIEW SCHOOL,Y,9300003,9300054,,,,,375   ARIZONA BLVD,HOFFMAN ESTATES,-88.0713837063,42.0398932379,"(42.0398932379, -88.0713837063)"
ANNE FOX SCHOOL,Y,9300051,,,,,,1035   PARKVIEW DR,HANOVER PARK,-88.1339033342,42.0095478077,"(42.0095478077, -88.1339033342)"
HERBERT HOOVER SCHOOL,Y,9300053,,,,,,315  N SPRINGINSGUTH RD,SCHAUMBURG,-88.1184977725,42.0316806149,"(42.0316806149, -88.1184977725)"
WEATHERSFIELD SOUTH ASSOC,Y,9300055,9300075,,,,,1111   CRANBROOK DR,SCHAUMBURG,-88.1050027992,42.0055630995,"(42.0055630995, -88.1050027992)"
EVERETT DIRKSEN SCHOOL,N,9300048,9300061,,,,,116 W BEECH ST,SCHAUMBURG,-88.0834538716,42.0216050843,"(42.0216050843, -88.0834538716)"
COMMUNITY REC CENTER,Y,9300029,9300065,,,,,505  N SPRINGINSGUTH RD,SCHAUMBURG,-88.1184097139,42.0347186038,"(42.0347186038, -88.1184097139)"
FREDERICK NERGE SCHOOL,Y,9300067,9300070,,,,,660   WOODFIELD TRAIL,ROSELLE,-88.0681092498,41.9967697865,"(41.9967697865, -88.0681092498)"
DUNBAR LAKES CONDO,Y,9300072,,,,,,720   DUNBAR LN,SCHAUMBURG,-88.0619070069,42.032965398,"(42.032965398, -88.0619070069)"
WILDBERRY CONDOS ASSN,Y,9300078,,,,,,220   GREENKNOLL LN,STREAMWOOD,-88.1430366073,42.037208772,"(42.037208772, -88.1430366073)"
MANOR CARE HEALTH SERVICES,Y,9300073,,,,,,1920   NERGE RD,ELK GROVE VILLAGE,-88.0573368833,41.9993715487,"(41.9993715487, -88.0573368833)"
ADOLPH LINK SCHOOL,Y,9300064,9300052,,,,,900 W GLENN TRAIL,ELK GROVE VILLAGE,-88.039183923,42.0063993598,"(42.0063993598, -88.039183923)"
MICHAEL COLLINS SCHOOL,Y,9300050,9300059,,,,,407   SUMMIT DR,SCHAUMBURG,-88.069903449,42.0199708241,"(42.0199708241, -88.069903449)"
LIVING HOPE CHURCH,Y,9300047,9300056,9300074,,,,777 S MEACHAM RD,ELK GROVE VILLAGE,-88.0455768101,42.0031106742,"(42.0031106742, -88.0455768101)"
VILLAGE IN THE PARK,Y,9300042,,,,,,1417 VALLEY LAKE DR,SCHAUMBURG,-88.0809907714,42.0577344329,"(42.0577344329, -88.0809907714)"
THE DEVONSHIRE,Y,9300027,,,,,,1515   BARRINGTON RD,HOFFMAN ESTATES,-88.1439422312,42.0506773801,"(42.0506773801, -88.1439422312)"
BAPTIST CHURCH OF SCHAUMBURG,Y,9300020,,,,,,316  N SPRINGINSGUTH RD,SCHAUMBURG,-88.1197019108,42.0316778879,"(42.0316778879, -88.1197019108)"
JOHN MUIR SCHOOL,Y,9300018,9300043,9300045,,,,1973  N KENSINGTON RD,HOFFMAN ESTATES,-88.1261384226,42.0612723809,"(42.0612723809, -88.1261384226)"
HELEN KELLER SCHOOL,Y,9300071,,,,,,820  W BODE RD,SCHAUMBURG,-88.1000251564,42.0416732012,"(42.0416732012, -88.1000251564)"
NATHAN HALE SCHOOL,Y,9300046,,,,,,1300  W  WISE RD,SCHAUMBURG,-88.1116549636,42.0046481069,"(42.0046481069, -88.1116549636)"
VILLAGE OF FORESTVIEW,Y,9400001,,,,,,7000 W 46TH ST,FORESTVIEW,-87.7976303601,41.8088180345,"(41.8088180345, -87.7976303601)"
CENTRAL TWP MEDICAL CENTER,Y,9400010,,,,,,4949 S LONG AVE,CHICAGO,-87.7577109128,41.8028234357,"(41.8028234357, -87.7577109128)"
LOUIS S VIVERITO SENIOR CENTER,Y,9400003,9400020,,,,,7745 S LEAMINGTON AVE,BURBANK,-87.7498384413,41.750772487,"(41.750772487, -87.7498384413)"
BURBANK PARK DIST,Y,9400004,9400018,,,,,8050 S NEW CASTLE AVE,BURBANK,-87.7910954549,41.7454909499,"(41.7454909499, -87.7910954549)"
PRAIRIE TRAILS LIBRARY,Y,9400005,,,,,,8449 S MOODY AVE,BURBANK,-87.773788917,41.7387190533,"(41.7387190533, -87.773788917)"
LIBERTY JUNIOR HIGH SCHOOL,Y,9400006,,,,,,5900 W 81ST ST,BURBANK,-87.7683808284,41.7450093999,"(41.7450093999, -87.7683808284)"
KENNEDY SCHOOL,Y,9400007,,,,,,7644 S CENTRAL AVE,BURBANK,-87.7610882029,41.7526297763,"(41.7526297763, -87.7610882029)"
HARRY E FRY SCHOOL,Y,9400008,,,,,,7805 S MOBILE AVE,BURBANK,-87.7778385277,41.7502314554,"(41.7502314554, -87.7778385277)"
